title,summary,category,tags,views,author_email,status,created_date
"Employee Benefits Overview 2024","Comprehensive overview of all employee benefits including health insurance, dental, vision, life insurance, and retirement plans available to full-time staff.","HR Policies","policy,process",342,author@ekbms.com,approved,2024-01-15
"Leave Policy and Procedures","Detailed guide covering all leave types including annual leave, sick leave, bereavement leave, and emergency leave with application procedures and approval workflows.","HR Policies","policy,process",287,author@ekbms.com,approved,2024-01-18
"Code of Conduct and Ethics Policy","Organization-wide standards for professional behavior, ethical conduct, conflict of interest management, and reporting mechanisms for policy violations.","HR Policies","policy",198,admin@ekbms.com,approved,2024-01-22
"Anti-Harassment and Discrimination Policy","Zero-tolerance policy framework for workplace harassment, discrimination, and bullying with investigation procedures and disciplinary consequences.","HR Policies","policy,process",176,author@ekbms.com,approved,2024-02-01
"Dress Code and Professional Appearance Guidelines","Standards for professional attire in office, client-facing, and remote work environments including business formal, business casual, and casual dress expectations.","HR Policies","policy",134,author@ekbms.com,approved,2024-02-05
"Employee Referral Program Guidelines","Step-by-step guide to participating in the employee referral program, eligibility criteria, bonus structure, and referral submission procedures.","HR Policies","policy,process",189,admin@ekbms.com,approved,2024-02-10
"Performance Improvement Plan Guide","Framework for managers and employees navigating a Performance Improvement Plan including goals setting, check-in cadence, and success criteria.","HR Policies","policy,process,training",156,author@ekbms.com,approved,2024-02-14
"Disciplinary Action Procedures","Progressive disciplinary process covering verbal warnings, written warnings, suspension, and termination with documentation requirements for each stage.","HR Policies","policy,process",112,author@ekbms.com,approved,2024-02-18
"Workplace Health and Safety Guidelines","Comprehensive guide to maintaining a safe work environment including emergency evacuation procedures, first aid protocols, and hazard reporting.","HR Policies","policy,process,security",145,admin@ekbms.com,approved,2024-02-22
"Flexible Working Hours Policy","Policy governing flexible start and end times, compressed work weeks, and hybrid work arrangements with manager approval requirements.","HR Policies","policy,process",223,author@ekbms.com,approved,2024-02-25
"Parental Leave and Maternity Policy","Complete guide to maternity, paternity, and adoption leave entitlements, application process, and return-to-work support programs.","HR Policies","policy,process",198,author@ekbms.com,approved,2024-03-01
"Business Travel Policy Overview","Guidelines for booking corporate travel, approved vendors, per diem rates, travel insurance, and international travel approval processes.","HR Policies","policy,process,finance",167,admin@ekbms.com,approved,2024-03-05
"Employee Assistance Program Guide","Overview of the Employee Assistance Program providing confidential counseling, financial advice, legal services, and mental health support resources.","HR Policies","policy,process",143,author@ekbms.com,approved,2024-03-08
"Grievance and Complaint Handling Procedures","Formal process for employees to raise workplace grievances, timeline for investigation, mediation options, and escalation paths.","HR Policies","policy,process",119,author@ekbms.com,approved,2024-03-12
"Promotion and Career Development Policy","Criteria and procedures for internal promotions, job leveling framework, career pathing resources, and development plan requirements.","HR Policies","policy,process,training",178,admin@ekbms.com,approved,2024-03-15
"Social Media and Internet Usage Policy","Acceptable use standards for social media during work hours, brand representation guidelines, confidentiality rules, and monitoring disclosure.","HR Policies","policy,security",132,author@ekbms.com,approved,2024-03-18
"Confidentiality and Non-Disclosure Agreement Guidelines","Requirements for protecting company confidential information, trade secrets, and customer data both during and after employment.","HR Policies","policy,security",121,author@ekbms.com,approved,2024-03-22
"Employee Recognition and Awards Program","Guide to nominating colleagues for recognition awards, peer appreciation programs, and year-end achievement ceremonies.","HR Policies","policy,process",165,admin@ekbms.com,approved,2024-03-25
"Health and Wellness Benefits Guide","Overview of wellness stipends, gym memberships, mental health days, nutrition programs, and preventive care benefits available to employees.","HR Policies","policy,training",188,author@ekbms.com,approved,2024-03-28
"Exit Process and Offboarding Checklist","Step-by-step checklist for departing employees covering knowledge transfer, asset return, account deactivation, and final paycheck processing.","HR Policies","policy,process",154,author@ekbms.com,approved,2024-04-01
"Help Desk Ticketing System Guide","How to submit, track, and escalate IT support tickets using the company's service management platform with priority level definitions.","IT Support","technical,process",312,author@ekbms.com,approved,2023-07-01
"Software Installation and Licensing Procedures","Approved software list, request process for new applications, licensing compliance requirements, and self-service installation instructions.","IT Support","technical,process,policy",267,author@ekbms.com,approved,2023-07-08
"Password Reset Self-Service Instructions","Step-by-step guide to resetting forgotten passwords using the self-service portal, authenticator app, or help desk escalation process.","IT Support","technical,security",498,admin@ekbms.com,approved,2023-07-15
"VPN Configuration and Troubleshooting Guide","Instructions for setting up the corporate VPN on Windows, Mac, and mobile devices with common connectivity issues and resolutions.","IT Support","technical,security,network",389,author@ekbms.com,approved,2023-07-22
"Corporate Email Configuration Guide","Setup instructions for corporate email on Outlook, Gmail, and mobile clients including signature requirements and folder organization best practices.","IT Support","technical,process",276,author@ekbms.com,approved,2023-08-01
"Printer and Peripheral Device Setup","Network printer installation guide for Windows and Mac workstations, default printer settings, and troubleshooting connection errors.","IT Support","technical,process",198,admin@ekbms.com,approved,2023-08-08
"Multi-Factor Authentication Setup Guide","Enrollment instructions for MFA using authenticator apps, SMS codes, and hardware tokens across all corporate systems and cloud services.","IT Support","technical,security",334,author@ekbms.com,approved,2023-08-15
"Data Backup and Recovery Procedures","Automatic and manual backup schedules, cloud storage quotas, file version recovery steps, and escalation path for data loss incidents.","IT Support","technical,security,process",223,author@ekbms.com,approved,2023-08-22
"Phishing and Social Engineering Awareness","Identifying phishing emails, suspicious links, social engineering attempts, and reporting procedures to the IT Security team.","IT Support","security,technical,training",445,admin@ekbms.com,approved,2023-09-01
"Software Asset and License Management","Tracking and managing software licenses, audit compliance procedures, renewal workflows, and decommissioning unused licenses.","IT Support","technical,process,policy",167,author@ekbms.com,approved,2023-09-08
"New Employee Laptop Setup Guide","Complete configuration checklist for setting up a new employee's workstation including required software, security tools, and network access.","IT Support","technical,onboarding,process",287,author@ekbms.com,approved,2023-09-15
"Video Conferencing Platform Best Practices","Best practices for hosting and joining video calls including meeting etiquette, screen sharing, recording policies, and virtual background guidelines.","IT Support","technical,process",234,admin@ekbms.com,approved,2023-09-22
"File Sharing and Collaboration Tools Guide","Approved file sharing platforms, external sharing policies, permission levels, and best practices for collaborative document management.","IT Support","technical,process,security",198,author@ekbms.com,approved,2023-10-01
"Mobile Device Management and BYOD Policy","Policy for enrolling personal and corporate mobile devices, acceptable use requirements, remote wipe capabilities, and app restrictions.","IT Support","technical,security,policy",145,author@ekbms.com,approved,2023-10-08
